id,unordered-square.threads-1,unordered-square.threads1,unordered-square.threads2,unordered-square.threads3,unordered-square.threads4,unordered-square.threads5,unordered-square.threads6,unordered-square.threads7,unordered-square.threads8,unordered-square.threads9,unordered-square.threads10,unordered-square.threads11,unordered-square.threads12,unordered-square.threads13,unordered-square.threads14,unordered-square.threads15,unordered-square.threads16
0,6633.0,14239.0,9281.0,9676.0,4932.0,4494.0,4511.0,3936.0,3600.0,3905.0,5133.0,9469.0,8801.0,6910.0,7463.0,6796.0,9236.0
1,70.42,900.53,841.73,989.73,461.07,422.42,431.59,530.07,567.18,512.83,727.06,952.26,966.47,1186.51,1372.07,1454.59,1639.43
2,3.356,186.005,185.42,208.308,189.23,201.73,281.524,370.806,444.614,475.043,565.646,665.666,758.025,892.283,948.124,1022.852,1123.553
3,1.585,114.922,114.248,116.252,147.018,159.028,220.198,275.526,355.538,398.569,454.389,475.278,580.091,659.76,679.933,788.052,842.558
