id,scalar-unary-u4-nshift,highway-unary-u1-nshift,highway-unary-u2-nshift,highway-unary-u4-nshift
0,0.318,1.518,1.487,1.464
1,0.312,1.118,1.212,1.218
2,0.451,2.266,3.161,4.795
3,1.821,12.9,12.451,15.279
4,14.348,43.936,83.739,123.39
5,140.515,435.782,884.198,1441.569
6,1691.006,4784.842,9599.09,13605.388
7,17032.61,52626.69,88178.93,130502.02
8,171670.0,455123.9,885098.9,1311519.6
