id,scalar-unary-u4-outside_oc,highway-unary-u1-outside_oc,highway-unary-u2-outside_oc,highway-unary-u4-outside_oc
0,0.318,0.548,0.559,0.543
1,0.346,0.57,0.678,0.673
2,0.491,1.804,3.019,4.253
3,2.808,13.954,26.48,39.043
4,31.345,136.925,262.828,387.921
5,366.606,1383.187,2686.33,3953.405
6,3990.292,14687.471,28249.453,40261.25
7,41720.67,147024.63,280460.47,414121.64
8,418734.1,1467913.1,2818434.5,4076571.7
