id,scalar-unary-u4-shift,highway-unary-u1-shift,highway-unary-u2-shift,highway-unary-u4-shift
0,0.323,1.483,1.775,1.45
1,0.326,1.194,2.113,1.15
2,0.45,2.206,3.989,4.198
3,1.768,8.524,11.377,18.881
4,14.456,46.227,85.274,123.22
5,141.132,444.616,913.353,1551.417
6,2004.274,4597.478,8691.675,12992.354
7,17920.04,52642.21,88076.96,135258.91
8,176477.8,533604.7,881323.4,1403451.6
