id,scalar-unary-u4-inside_oc,highway-unary-u1-inside_oc,highway-unary-u2-inside_oc,highway-unary-u4-inside_oc
0,0.323,1.906,1.64,1.774
1,0.34,2.467,1.915,2.375
2,0.496,3.724,7.004,7.776
3,2.949,15.332,26.388,39.18
4,32.503,138.24,264.673,399.141
5,337.264,1393.964,2887.683,4254.673
6,3569.42,14351.353,28304.439,41127.561
7,36257.82,144616.09,278534.82,415215.21
8,362720.1,1463062.8,2811177.3,4188609.1
