id,scalar-unary-u4-eq,highway-unary-u1-eq,highway-unary-u2-eq,highway-unary-u4-eq
0,0.316,0.509,0.502,0.501
1,0.34,0.44,0.491,0.488
2,0.558,1.259,2.009,2.736
3,1.918,7.646,14.174,20.794
4,18.03,67.346,127.726,184.708
5,176.541,784.633,1367.742,1962.934
6,2018.579,7448.183,14341.886,19446.184
7,21190.95,76075.78,142838.2,193936.28
8,219459.8,757680.8,1448020.5,2031151.1
