id,scalar-unary-u4-round,highway-unary-u1-round,highway-unary-u2-round,highway-unary-u4-round
0,0.328,0.481,0.482,0.481
1,0.365,0.384,0.407,0.405
2,0.707,0.781,1.071,1.352
3,2.892,3.18,5.406,7.464
4,23.824,28.533,50.931,71.068
5,281.294,323.793,612.225,849.928
6,2744.869,3324.283,6313.219,9340.026
7,29759.91,33293.16,63390.56,93618.58
8,295218.9,331595.0,632819.0,922462.7
