id,scalar-unary-u4-inside_co,highway-unary-u1-inside_co,highway-unary-u2-inside_co,highway-unary-u4-inside_co
0,0.309,0.571,0.544,0.554
1,0.342,0.569,0.68,0.683
2,0.523,2.229,3.955,5.592
3,2.42,14.379,27.924,41.175
4,29.229,138.496,273.296,405.95
5,356.05,1404.726,2773.648,4148.145
6,3558.265,14289.999,28151.99,41814.715
7,35936.33,143919.12,286493.41,420599.32
8,363513.8,1432251.6,2859613.6,4184090.1
