id,scalar-unary-u4-clamp,highway-unary-u1-clamp,highway-unary-u2-clamp,highway-unary-u4-clamp
0,0.34,1.546,1.489,1.829
1,0.395,1.149,1.242,2.267
2,0.745,2.654,3.753,5.486
3,4.292,8.979,12.211,20.051
4,39.703,52.248,104.111,153.009
5,391.805,562.82,1055.849,1709.335
6,3957.973,5802.88,11906.792,16605.077
7,39698.39,58362.83,116080.66,160565.54
8,397098.9,585240.6,1125651.2,1616147.9
