id,scalar-unary-u4-invert,highway-unary-u1-invert,highway-unary-u2-invert,highway-unary-u4-invert
0,0.317,1.477,1.465,1.447
1,0.313,1.127,1.192,1.18
2,0.442,2.217,3.185,4.125
3,1.723,9.075,10.538,16.021
4,14.278,44.973,83.694,123.297
5,140.522,442.584,855.484,1343.368
6,1800.989,5123.533,9918.698,13706.333
7,19441.1,47869.43,87676.46,129832.32
8,191891.1,456331.2,891200.9,1326503.1
