id,scalar-binary-u4-ne,highway-binary-u1-ne,highway-binary-u2-ne,highway-binary-u4-ne
0,0.345,0.614,0.612,0.63
1,0.353,0.509,0.586,0.585
2,0.603,1.115,1.851,2.775
3,2.571,7.483,13.883,20.343
4,23.083,71.829,136.749,201.702
5,259.128,726.576,1402.209,2071.519
6,2760.77,7677.649,14580.007,21229.511
7,27812.32,75205.33,153284.8,210419.82
8,276992.3,753092.1,1507451.3,2121310.2
