id,scalar-binary-u4-ge,highway-binary-u1-ge,highway-binary-u2-ge,highway-binary-u4-ge
0,0.336,0.611,0.62,0.612
1,0.363,0.5,0.579,0.581
2,0.503,1.076,1.723,2.352
3,2.326,7.553,13.966,20.381
4,38.08,71.839,136.334,201.477
5,601.931,823.628,1403.22,2068.989
6,6773.809,7394.627,14512.537,20928.885
7,67784.7,73851.39,146001.85,208888.95
8,678693.7,751853.8,1495215.7,2106145.4
