id,scalar-unary-u4-inside_oo,highway-unary-u1-inside_oo,highway-unary-u2-inside_oo,highway-unary-u4-inside_oo
0,0.313,0.557,0.548,0.553
1,0.337,0.577,0.71,0.711
2,0.456,2.408,4.342,5.461
3,2.729,15.288,29.65,44.223
4,31.477,149.119,292.756,437.125
5,376.122,1532.88,2998.458,4474.005
6,3571.682,15933.611,31538.379,46276.46
7,36101.56,160259.2,315177.41,467498.71
8,361338.8,1600602.4,3139964.8,4630848.8
