id,reduce-rows-baseline-5-argmax,reduce-rows-perdepth0-5-argmax,reduce-rows-perdepth1-5-argmax
0,0.542,0.576,0.602
1,1.644,1.585,2.203
2,2.907,2.511,3.582
3,11.415,16.461,14.175
4,100.925,127.366,92.448
5,1099.476,1325.375,1028.442
6,12002.52,13928.13,12051.83
