id,reduce-rows-baseline-3-argmin,reduce-rows-perdepth0-3-argmin,reduce-rows-perdepth1-3-argmin
0,0.57,0.487,0.553
1,1.392,1.344,1.504
2,2.296,2.089,2.268
3,7.754,5.798,7.454
4,61.093,48.619,48.887
5,595.732,475.483,447.561
6,6279.02,4786.97,4494.98
