id,reduce-rows-baseline-1-mean,reduce-rows-perdepth0-1-mean,reduce-rows-perdepth1-1-mean
0,0.551,0.567,0.541
1,1.075,1.09,1.338
2,1.625,1.92,1.869
3,5.911,5.809,4.35
4,50.67,51.569,32.946
5,496.264,507.672,259.851
6,4917.96,5036.27,2583.48
