id,reduce-rows-baseline-7-variance,reduce-rows-perdepth0-7-variance,reduce-rows-perdepth1-7-variance
0,0.748,0.549,0.539
1,2.451,2.174,3.641
2,9.215,7.101,6.972
3,54.233,53.553,48.768
4,513.175,495.689,465.425
5,5296.624,5100.152,4823.402
6,52126.53,50621.88,47637.58
