id,reduce-rows-baseline-2-sum,reduce-rows-perdepth0-2-sum,reduce-rows-perdepth1-2-sum
0,0.538,0.484,0.51
1,1.489,1.28,1.152
2,2.41,1.997,1.711
3,11.303,7.596,5.853
4,101.103,63.674,58.055
5,992.266,624.127,519.283
6,9878.92,6204.19,5163.93
