id,reduce-rows-baseline-3-profile,reduce-rows-perdepth0-3-profile,reduce-rows-perdepth1-3-profile
0,0.544,0.518,0.547
1,1.034,1.158,1.194
2,0.823,1.25,1.648
3,0.535,3.854,5.22
4,0.485,32.222,36.574
5,1.145,298.656,277.334
6,4.33,3087.3,2896.29
