id,reduce-rows-baseline-8-variance,reduce-rows-perdepth0-8-variance,reduce-rows-perdepth1-8-variance
0,0.722,0.492,0.793
1,2.531,2.185,3.741
2,7.97,7.189,8.489
3,60.738,57.501,63.25
4,585.564,567.034,532.597
5,6103.236,5936.52,5605.766
6,59826.75,58347.96,54938.53
