id,reduce-rows-baseline-2-argmax,reduce-rows-perdepth0-2-argmax,reduce-rows-perdepth1-2-argmax
0,0.508,0.499,0.509
1,1.314,1.239,1.285
2,1.889,1.68,1.975
3,5.05,4.407,4.294
4,40.861,41.658,36.097
5,399.315,347.981,316.301
6,4083.71,3507.71,3174.5
