id,reduce-rows-baseline-2-argmin,reduce-rows-perdepth0-2-argmin,reduce-rows-perdepth1-2-argmin
0,0.553,0.509,0.62
1,1.181,1.104,1.306
2,1.817,1.773,1.588
3,4.835,5.059,4.258
4,40.96,35.634,32.894
5,399.178,348.151,315.531
6,4092.86,3509.01,3167.95
