id,reduce-rows-baseline-7-mean,reduce-rows-perdepth0-7-mean,reduce-rows-perdepth1-7-mean
0,0.614,0.565,0.499
1,1.432,1.421,2.666
2,4.664,4.871,4.468
3,35.593,38.552,31.388
4,348.655,349.046,239.772
5,3711.632,3718.509,2883.755
6,36002.27,36143.7,26877.42
