id,reduce-rows-baseline-1-stddev,reduce-rows-perdepth0-1-stddev,reduce-rows-perdepth1-1-stddev
0,0.589,0.573,0.633
1,1.071,1.057,1.17
2,2.193,1.949,1.847
3,7.824,8.686,9.924
4,74.892,70.274,61.66
5,725.148,677.844,542.503
6,7189.43,6732.85,5397.33
