id,reduce-rows-baseline-6-max,reduce-rows-perdepth0-6-max,reduce-rows-perdepth1-6-max
0,0.646,0.509,0.661
1,1.746,1.602,1.419
2,2.937,5.529,2.09
3,17.373,32.89,13.596
4,142.291,318.962,130.229
5,1711.362,3294.45,1660.249
6,16766.62,32317.51,16654.81
