id,reduce-rows-baseline-2-mean,reduce-rows-perdepth0-2-mean,reduce-rows-perdepth1-2-mean
0,0.594,0.468,0.505
1,1.284,0.906,1.33
2,2.749,1.66,2.03
3,12.579,8.249,7.65
4,100.641,66.928,57.166
5,990.364,628.877,522.59
6,9856.81,6215.65,5185.25
