id,reduce-rows-baseline-5-max,reduce-rows-perdepth0-5-max,reduce-rows-perdepth1-5-max
0,0.585,0.521,0.468
1,1.517,1.495,1.251
2,2.747,4.338,2.505
3,13.966,27.205,14.232
4,119.052,266.225,109.722
5,1236.666,2679.252,1164.758
6,12801.94,26888.83,12282.43
