id,reduce-rows-baseline-3-sumsquared,reduce-rows-perdepth0-3-sumsquared,reduce-rows-perdepth1-3-sumsquared
0,0.577,0.562,0.817
1,1.194,1.467,1.435
2,2.758,2.576,2.319
3,19.698,10.976,9.899
4,152.444,103.166,95.123
5,1511.139,1018.667,915.815
6,15262.89,10145.35,9105.67
