id,reduce-rows-baseline-8-rprofile,reduce-rows-perdepth0-8-rprofile,reduce-rows-perdepth1-8-rprofile
0,0.643,0.589,0.573
1,1.006,1.319,1.258
2,0.631,3.351,2.327
3,0.716,18.546,11.118
4,0.69,179.094,105.265
5,3.748,2860.653,2650.145
6,5.09,25899.56,23927.9
