id,reduce-rows-baseline-1-argmin,reduce-rows-perdepth0-1-argmin,reduce-rows-perdepth1-1-argmin
0,0.503,0.552,0.627
1,0.791,1.043,1.1
2,1.266,1.647,1.473
3,3.411,3.385,3.57
4,21.972,25.071,18.281
5,198.924,243.624,159.649
6,2003.25,2429.04,1594.68
