id,reduce-rows-baseline-4-mean,reduce-rows-perdepth0-4-mean,reduce-rows-perdepth1-4-mean
0,0.677,0.479,0.653
1,1.759,1.307,1.204
2,3.912,2.532,2.914
3,22.722,15.997,15.651
4,200.94,111.75,105.847
5,1981.496,1027.632,1032.706
6,20146.56,10242.64,10287.2
