id,reduce-rows-baseline-4-sum,reduce-rows-perdepth0-4-sum,reduce-rows-perdepth1-4-sum
0,0.535,0.622,0.554
1,1.497,1.25,1.492
2,3.275,1.945,2.74
3,21.126,13.977,14.551
4,199.93,119.477,108.24
5,1986.005,1027.816,1034.154
6,20337.99,10242.33,10290.32
