id,reduce-rows-baseline-6-argmax,reduce-rows-perdepth0-6-argmax,reduce-rows-perdepth1-6-argmax
0,0.564,0.59,0.547
1,1.827,1.824,2.263
2,3.059,3.428,4.308
3,15.838,17.506,13.071
4,121.638,152.832,109.036
5,1647.626,1873.005,1596.108
6,16136.02,18568.15,16447.39
