id,reduce-rows-baseline-4-stddev,reduce-rows-perdepth0-4-stddev,reduce-rows-perdepth1-4-stddev
0,0.652,0.508,0.483
1,1.663,1.79,1.699
2,5.89,4.643,3.761
3,34.546,28.556,27.93
4,291.648,228.963,217.778
5,2892.035,2142.78,2164.555
6,29086.89,21376.53,21548.23
