id,reduce-rows-baseline-8-profile,reduce-rows-perdepth0-8-profile,reduce-rows-perdepth1-8-profile
0,0.558,0.599,0.57
1,1.126,1.416,1.245
2,0.916,3.106,2.493
3,0.533,17.898,11.241
4,0.676,172.862,105.559
5,4.187,2840.611,2619.946
6,4.91,25766.56,23778.8
