id,reduce-rows-baseline-1-sum,reduce-rows-perdepth0-1-sum,reduce-rows-perdepth1-1-sum
0,0.552,0.503,0.524
1,1.028,1.173,1.428
2,1.726,1.694,1.792
3,8.967,6.302,4.482
4,56.134,51.656,29.84
5,497.963,509.206,262.533
6,4944.35,5053.57,2589.15
