id,reduce-rows-baseline-1-argmax,reduce-rows-perdepth0-1-argmax,reduce-rows-perdepth1-1-argmax
0,0.507,0.52,0.64
1,1.343,1.223,1.199
2,1.377,1.268,1.745
3,3.176,3.897,3.466
4,20.629,27.821,21.78
5,199.032,248.262,160.038
6,1995.42,2449.38,1603.92
