id,reduce-rows-baseline-2-variance,reduce-rows-perdepth0-2-variance,reduce-rows-perdepth1-2-variance
0,0.644,0.521,0.549
1,1.487,1.371,1.664
2,3.414,2.786,3.656
3,17.439,13.086,12.512
4,151.956,114.917,116.591
5,1452.611,1129.404,1084.223
6,14487.67,11263.62,10848.76
