id,reduce-rows-baseline-6-stddev,reduce-rows-perdepth0-6-stddev,reduce-rows-perdepth1-6-stddev
0,0.697,0.473,0.456
1,2.097,1.675,3.226
2,5.931,6.94,6.451
3,47.765,46.974,47.862
4,439.557,425.324,402.421
5,4438.216,4282.437,4070.473
6,44323.09,42907.18,40761.97
