id,reduce-rows-baseline-3-stddev,reduce-rows-perdepth0-3-stddev,reduce-rows-perdepth1-3-stddev
0,0.622,0.52,0.551
1,1.66,1.544,1.509
2,4.217,3.374,3.213
3,24.486,17.93,21.531
4,218.657,167.854,171.267
5,2167.731,1635.041,1594.65
6,21694.63,16274.48,15918.09
