id,reduce-rows-baseline-8-argmin,reduce-rows-perdepth0-8-argmin,reduce-rows-perdepth1-8-argmin
0,0.566,0.589,0.654
1,1.619,1.954,2.479
2,2.944,3.696,4.363
3,17.481,22.23,19.613
4,161.269,201.91,147.244
5,2732.525,3095.911,2858.476
6,24853.75,28240.69,26494.42
