id,reduce-rows-baseline-3-argmax,reduce-rows-perdepth0-3-argmax,reduce-rows-perdepth1-3-argmax
0,0.524,0.621,0.517
1,0.953,1.345,1.443
2,1.929,1.861,2.301
3,7.029,9.552,6.66
4,60.768,52.562,48.832
5,596.134,476.482,447.401
6,6248.4,4773.37,4516.28
