id,reduce-rows-baseline-1-profile,reduce-rows-perdepth0-1-profile,reduce-rows-perdepth1-1-profile
0,0.497,0.53,0.513
1,0.984,0.855,0.952
2,0.968,1.018,1.06
3,0.584,2.821,2.535
4,0.613,21.773,10.161
5,0.596,210.614,96.868
6,4.19,2121.35,1052.01
