id,reduce-rows-baseline-8-min,reduce-rows-perdepth0-8-min,reduce-rows-perdepth1-8-min
0,0.526,0.497,0.509
1,1.707,1.35,1.527
2,3.018,6.0,3.934
3,19.691,43.082,19.843
4,180.272,425.054,176.565
5,2866.806,4544.254,2875.147
6,26064.28,43376.25,25967.05
