id,reduce-rows-baseline-7-max,reduce-rows-perdepth0-7-max,reduce-rows-perdepth1-7-max
0,0.485,0.568,0.547
1,1.398,1.519,1.579
2,3.419,5.119,2.71
3,18.063,38.211,15.822
4,166.038,372.552,153.449
5,2317.205,3974.371,2312.585
6,20870.85,37771.07,21054.51
