id,reduce-rows-baseline-6-min,reduce-rows-perdepth0-6-min,reduce-rows-perdepth1-6-min
0,0.519,0.488,0.536
1,1.637,1.318,1.483
2,3.575,4.739,3.065
3,15.708,32.714,14.265
4,136.902,319.283,131.839
5,1699.34,3281.744,1657.398
6,16604.62,32321.15,16669.51
