id,reduce-rows-baseline-3-mean,reduce-rows-perdepth0-3-mean,reduce-rows-perdepth1-3-mean
0,0.597,0.766,0.496
1,1.348,1.411,1.432
2,2.971,2.398,2.315
3,16.484,9.681,8.956
4,149.983,82.075,81.443
5,1479.916,810.878,757.181
6,14907.61,8071.46,7544.6
