id,reduce-rows-baseline-3-variance,reduce-rows-perdepth0-3-variance,reduce-rows-perdepth1-3-variance
0,0.657,0.509,0.519
1,1.695,1.577,1.795
2,4.398,3.773,4.18
3,23.967,20.141,18.367
4,226.26,179.626,162.067
5,2174.844,1639.07,1595.446
6,21729.45,16313.12,15861.16
