id,reduce-rows-baseline-4-max,reduce-rows-perdepth0-4-max,reduce-rows-perdepth1-4-max
0,0.524,0.55,0.505
1,1.525,1.163,1.468
2,2.546,1.758,2.101
3,10.217,11.633,9.815
4,95.079,85.816,84.014
5,943.34,832.54,832.411
6,10052.39,8315.21,8326.65
