id,reduce-rows-baseline-8-max,reduce-rows-perdepth0-8-max,reduce-rows-perdepth1-8-max
0,0.533,0.578,0.525
1,1.268,1.725,1.493
2,3.598,7.203,2.938
3,21.324,44.882,17.953
4,193.901,426.706,174.848
5,2846.867,4588.076,2881.803
6,25928.15,43254.41,25863.21
