id,reduce-rows-baseline-3-max,reduce-rows-perdepth0-3-max,reduce-rows-perdepth1-3-max
0,0.545,0.59,0.531
1,1.249,1.229,1.101
2,1.972,1.864,1.81
3,8.052,7.385,6.916
4,72.544,62.132,60.648
5,704.995,607.937,592.956
6,7335.55,6074.38,5928.05
