id,reduce-rows-baseline-4-argmax,reduce-rows-perdepth0-4-argmax,reduce-rows-perdepth1-4-argmax
0,0.571,0.52,0.504
1,1.515,1.415,1.204
2,2.531,2.195,2.216
3,8.928,9.608,8.541
4,80.842,65.267,64.572
5,808.064,613.737,636.777
6,9119.66,6187.65,6346.06
