id,reduce-rows-baseline-2-stddev,reduce-rows-perdepth0-2-stddev,reduce-rows-perdepth1-2-stddev
0,0.53,0.536,0.583
1,1.58,1.498,1.463
2,3.952,3.451,2.8
3,15.878,14.634,15.301
4,146.199,118.382,112.422
5,1445.232,1126.391,1087.42
6,14387.47,11185.61,10753.4
