id,reduce-rows-baseline-1-min,reduce-rows-perdepth0-1-min,reduce-rows-perdepth1-1-min
0,0.529,0.521,0.497
1,0.896,1.061,0.958
2,1.08,1.787,1.379
3,3.922,8.465,2.649
4,24.604,55.019,21.546
5,223.104,531.658,209.411
6,2223.34,5283.71,2107.28
