id,reduce-rows-baseline-8-sum,reduce-rows-perdepth0-8-sum,reduce-rows-perdepth1-8-sum
0,0.71,0.674,0.583
1,2.282,1.829,1.916
2,5.077,6.3,6.06
3,41.578,44.865,36.963
4,398.379,399.428,275.271
5,4317.875,4310.795,3528.387
6,41465.87,41482.1,32356.25
