id,reduce-rows-baseline-4-min,reduce-rows-perdepth0-4-min,reduce-rows-perdepth1-4-min
0,0.605,0.477,0.513
1,1.147,1.152,1.113
2,2.257,2.325,2.078
3,11.028,10.271,9.996
4,90.478,85.193,82.508
5,897.697,833.409,813.664
6,9655.21,8331.71,8088.52
