id,reduce-rows-baseline-7-argmin,reduce-rows-perdepth0-7-argmin,reduce-rows-perdepth1-7-argmin
0,0.64,0.481,0.507
1,1.856,1.635,2.285
2,3.03,3.137,4.527
3,15.934,19.166,15.948
4,141.191,176.066,130.969
5,2267.351,2502.981,2290.856
6,20229.26,22968.65,21229.19
