id,reduce-rows-baseline-6-sum,reduce-rows-perdepth0-6-sum,reduce-rows-perdepth1-6-sum
0,0.652,0.797,0.57
1,1.873,1.426,2.756
2,5.081,5.209,4.869
3,30.593,34.123,26.478
4,299.855,301.777,206.965
5,3085.163,3085.59,2270.633
6,30772.18,30801.46,23003.29
