id,reduce-rows-baseline-7-sum,reduce-rows-perdepth0-7-sum,reduce-rows-perdepth1-7-sum
0,0.693,0.54,0.538
1,1.938,1.421,2.661
2,5.431,4.816,4.973
3,36.315,36.625,28.65
4,351.506,349.224,238.812
5,3722.838,3718.605,2907.003
6,36109.01,36157.39,27232.09
