id,reduce-rows-baseline-5-mean,reduce-rows-perdepth0-5-mean,reduce-rows-perdepth1-5-mean
0,0.637,0.583,0.523
1,1.294,1.705,2.21
2,3.979,3.746,3.814
3,27.17,27.331,20.122
4,249.552,250.175,170.393
5,2505.809,2504.856,1744.171
6,25400.27,25438.54,17841.65
