id,reduce-rows-baseline-4-profile,reduce-rows-perdepth0-4-profile,reduce-rows-perdepth1-4-profile
0,0.534,0.512,0.63
1,1.203,0.843,1.341
2,0.951,1.234,1.871
3,0.679,7.627,7.279
4,0.541,42.993,43.657
5,1.529,378.123,383.535
6,4.3,3912.81,3938.15
