id,reduce-rows-baseline-2-profile,reduce-rows-perdepth0-2-profile,reduce-rows-perdepth1-2-profile
0,0.522,0.498,0.473
1,1.057,1.188,1.145
2,1.134,1.298,1.153
3,1.093,2.906,3.817
4,0.979,23.768,22.226
5,0.804,231.932,192.132
6,4.87,2369.47,2015.12
