id,reduce-rows-baseline-6-mean,reduce-rows-perdepth0-6-mean,reduce-rows-perdepth1-6-mean
0,0.606,0.585,0.566
1,2.074,1.639,2.375
2,5.448,4.158,4.676
3,32.611,31.657,22.02
4,298.815,302.004,205.795
5,3074.446,3087.021,2259.597
6,30719.71,30757.16,22957.99
