id,reduce-rows-baseline-3-sum,reduce-rows-perdepth0-3-sum,reduce-rows-perdepth1-3-sum
0,0.522,0.576,0.522
1,1.401,1.081,1.375
2,3.757,2.762,2.288
3,16.303,11.307,8.804
4,150.743,85.081,77.066
5,1483.087,812.861,759.382
6,14903.64,8100.14,7563.09
